"GeoName","Year","Real GDP (millions of chained 2017 dollars) 1/","Chain-type quantity indexes for real GDP","Current-dollar GDP (millions of current dollars)","Compensation (millions of dollars)","Gross operating surplus (millions of dollars)","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Taxes on production and imports (TOPI) (millions of dollars)","Subsidies (millions of dollars)"
"Maryland","2023",422866.3,105.792,515607.3,277334.6,206662.6,31610.1,33825.9,-2215.8
"Maryland","1997",237589.2,59.44,159167.8,92541.7,57053.3,9572.8,10186,-613.2
"Maryland","1998",248662.9,62.21,169360.1,99144.6,60000.4,10215.1,10785.3,-570.2
"Maryland","1999",258913.4,64.775,179779.6,105867.5,63423.3,10488.8,11101.8,-613.1
"Massachusetts","2000",382599.6,72.171,287091.4,178291,95424.8,13375.7,14242.4,-866.7
"Massachusetts","2001",388180.8,73.224,294876.4,181188.4,99731.6,13956.4,14932.5,-976.1
"Massachusetts","2002",388451.6,73.275,299915.8,178812.9,106469.3,14633.7,15659.3,-1025.6
"Massachusetts","2003",397069.9,74.901,309736.1,181525.2,112605.4,15605.5,16751.1,-1145.6
"Massachusetts","2004",407886,76.941,324919,192535.2,115443.7,16940.1,18100.8,-1160.7
"Massachusetts","2005",417075.6,78.674,340637.8,198949.9,124079.9,17607.9,18878.9,-1271
"Massachusetts","2006",426926.1,80.532,358418.3,209555.1,130846.9,18016.3,19237.7,-1221.4
"Massachusetts","2007",440373.8,83.069,377985.6,223088.1,136800.8,18096.6,19281.6,-1185
"Massachusetts","2008",447526.8,84.418,387923.4,230095,139557.4,18271,19502.6,-1231.6
"Massachusetts","2009",441307.6,83.245,388963.9,221443.5,148928.1,18592.2,20038.8,-1446.6
"Massachusetts","2010",462330.8,87.211,409270,229404.8,160216.4,19648.8,21112.2,-1463.4
"Massachusetts","2011",472664.3,89.16,423684.9,240267.1,162962.1,20455.7,21771.1,-1315.4
"Massachusetts","2012",483286.3,91.164,441373.9,250049.2,170228.3,21096.5,22723,-1626.5
"Massachusetts","2013",486991.8,91.863,452580.4,257408.8,173060,22111.6,23758.2,-1646.7
"Massachusetts","2014",496250.9,93.609,469824.9,269978.5,175986.2,23860.2,25496.5,-1636.3
"Massachusetts","2015",514398.7,97.033,497767,286161.2,186510,25095.7,26709.7,-1614
"Massachusetts","2016",521662.8,98.403,514108,294087.2,193926.4,26094.5,27800.1,-1705.6
"Massachusetts","2017",530129.4,100,530129.4,309143.1,194050,26936.3,28572.5,-1636.2
"Massachusetts","2018",549262.1,103.609,559605,325726.2,205263.5,28615.3,30315.8,-1700.5
"Massachusetts","2019",566326.8,106.828,588069.5,342122.3,216853.2,29094,30843.6,-1749.7
"Massachusetts","2020",559765,105.59,592653,345287.9,231719.8,15645.3,31108.3,-15463
"Massachusetts","2021",595911.8,112.409,649511.4,372965.2,255707.4,20838.8,34222.7,-13384
"Massachusetts","2022",608052.9,114.699,695612.1,392512.9,270597.9,32501.3,36424.5,-3923.2
"Massachusetts","2023",615504.5,116.105,736296.3,406592.8,294638.1,35065.4,38250,-3184.6
"Massachusetts","1997",322389.9,60.813,236435.6,135232.2,89954,11249.3,12184.9,-935.6
"Massachusetts","1998",335504.4,63.287,247686.8,146224.4,89433.1,12029.2,12896.9,-867.7
"Massachusetts","1999",353837.9,66.746,262868.8,158531.3,91582,12755.5,13650.8,-895.3
"Michigan","2000",467654.4,92.586,351879.5,214237.9,115331.2,22310.4,23242.3,-931.9
"Michigan","2001",453301.5,89.745,349127.5,213394,113451.2,22282.3,23348.8,-1066.5
"Michigan","2002",465788.4,92.217,363372.1,214183.4,126530.4,22658.3,23501.8,-843.5
"Michigan","2003",477085.4,94.453,376123.8,218531.4,132952.9,24639.5,25705.2,-1065.8
"Michigan","2004",485082.7,96.037,388764.6,224520.6,138324,25919.9,26956.8,-1036.9
"Michigan","2005",493796.3,97.762,402828.8,229399.5,145547.2,27882.1,29212.9,-1330.8
"Michigan","2006",483763.6,95.776,402537.3,231281.2,142892,28364.1,29478.5,-1114.4
"Michigan","2007",482935.1,95.611,410613,234153.6,147071.4,29388,30340.2,-952.2
"Michigan","2008",455256.7,90.132,391633.6,232134.6,131367.3,28131.8,29125.9,-994.1
"Michigan","2009",416297.1,82.418,371707,214832.2,127681.8,29192.9,30375.6,-1182.6
"Michigan","2010",441271.5,87.363,393179.6,218317.8,145885.8,28976,30108.6,-1132.6
"Michigan","2011",453989.1,89.881,408354.1,227927.1,152120.7,28306.4,29634.8,-1328.4
"Michigan","2012",463302.6,91.725,426141.1,235873.4,161732.4,28535.2,29803.6,-1268.4
"Michigan","2013",472779.9,93.601,441470.8,241747.6,170596.6,29126.6,30398.7,-1272.1
"Michigan","2014",479534.9,94.938,456123.5,251389.1,175186.6,29547.7,30653,-1105.3
"Michigan","2015",490618.7,97.133,479222.7,264630.8,185216.7,29375.2,30543.3,-1168.1
"Michigan","2016",500159.5,99.022,494752.5,273728.9,190459.7,30564,31782.9,-1219
"Michigan","2017",505101.5,100,505101.5,285743,188358,31000.5,32148.6,-1148.2
"Michigan","2018",516843,102.325,525240.8,297154.5,194662.4,33423.9,34597.8,-1173.9
"Michigan","2019",521085.1,103.164,540237.3,304457.3,201932.9,33847.1,35203.1,-1356
"Michigan","2020",501893.8,99.365,529675.6,298501.1,213886.4,17288.1,34703.8,-17415.7
"Michigan","2021",530380.9,105.005,575116.4,321476.2,229543.5,24096.8,39367.5,-15270.6
"Michigan","2022",543720.9,107.646,627009.1,344519,242782.9,39707.2,41949,-2241.8
"Michigan","2023",554256.2,109.732,673818.1,362188.4,270114.3,41515.5,43307,-1791.5
"Michigan","1997",423459.8,83.837,299832.7,178601.7,102013.6,19217.3,19970.1,-752.8
"Michigan","1998",431274.3,85.384,311088.2,189180.9,101620.4,20286.9,21060.9,-773.9
"Michigan","1999",457637.6,90.603,337150.2,202344.8,114470.7,20334.7,21303.5,-968.9
"Minnesota","2000",263345.6,74.24,192389.5,115845.1,65218.8,11325.6,13088.3,-1762.8
"Minnesota","2001",263518.7,74.289,196869.4,120116.2,65132.8,11620.3,13385,-1764.7
"Minnesota","2002",268982.8,75.829,204061.1,122574,68883.9,12603.2,13600.6,-997.4
"Minnesota","2003",280796.9,79.16,215975.1,127240.7,76152.7,12581.7,13938.2,-1356.5
"Minnesota","2004",293753.9,82.812,231949.4,134323.2,84098.5,13527.7,14774.2,-1246.5
"Minnesota","2005",301761.2,85.07,244635.4,138351.2,92284.4,13999.8,15909.3,-1909.6
"Minnesota","2006",302272.7,85.214,252357.6,143068.3,94170.1,15119.2,16458.6,-1339.4
"Minnesota","2007",304208,85.76,261250.7,151565.9,94273.7,15411.1,16561.9,-1150.7
"Minnesota","2008",309290.4,87.192,268771.5,156419.3,96802.2,15550,16870.8,-1320.8
"Minnesota","2009",296875.2,83.692,262628.8,148825.7,97858.1,15944.9,17320.9,-1376
"Minnesota","2010",308091.9,86.854,274649.2,153098.5,104005,17545.7,18806.5,-1260.8
"Minnesota","2011",315213.3,88.862,287070.8,160035.9,108791.8,18243,19634.3,-1391.3
"Minnesota","2012",321053.9,90.509,298641.4,165168.1,115079.2,18394.1,19827.4,-1433.3
"Minnesota","2013",329774.5,92.967,311752.1,170653.8,120426.1,20672.3,22205.4,-1533.1
"Minnesota","2014",338623.9,95.462,324701.5,178779,125536.3,20386.2,21734.6,-1348.3
"Minnesota","2015",345456.2,97.388,336762,187416.9,128476.7,20868.4,22732.3,-1864
"Minnesota","2016",350603.6,98.839,345248.8,192845.4,130061.3,22342.1,23947.6,-1605.6
"Minnesota","2017",354721.9,100,354721.9,202013.1,129702.9,23005.9,24481.6,-1475.7
"Minnesota","2018",364799.7,102.841,372439.2,210877,137869.3,23692.9,25516.2,-1823.3
"Minnesota","2019",369617.4,104.199,384850.2,218277.7,142551.7,24020.7,26332.4,-2311.7
"Minnesota","2020",357475.6,100.776,378746.6,218994.7,148083,11668.9,26425.5,-14756.6
"Minnesota","2021",377947,106.547,416538.7,234182.6,166213.1,16143,27733,-11590
"Minnesota","2022",384727.7,108.459,454992.8,249089.1,179164,26739.7,29943.5,-3203.8
"Minnesota","2023",390907.9,110.201,483162.1,260017.6,194746.8,28397.7,30760.6,-2362.9
"Minnesota","1997",225480.3,63.565,157345.9,91979.6,55159.5,10206.7,10987.3,-780.6
"Minnesota","1998",237724,67.017,167867.4,100332.1,56825.2,10710.1,11921.4,-1211.3
"Minnesota","1999",247004.7,69.633,176780.4,106755.4,59939.6,10085.5,11761.8,-1676.4
"Mississippi","2000",93957,85.198,66051.5,37899,22935.9,5216.6,5747.2,-530.6
"Mississippi","2001",93515.5,84.797,67750.2,38674.4,24380.8,4695,5811.5,-1116.5
"Mississippi","2002",94561.5,85.746,69704.9,40009.2,24369.1,5326.6,5881.5,-554.9
"Mississippi","2003",98762.1,89.555,74418.4,41443.1,27486,5489.3,6140.4,-651.1
"Mississippi","2004",101369.5,91.919,78680.1,43795.3,28899.4,5985.4,6549.9,-564.5
"Mississippi","2005",103691.8,94.025,82991.6,45766.5,31213.3,6011.8,6946.7,-934.8
"Mississippi","2006",105879.9,96.009,87596.7,48139,32803.6,6654.1,7382,-727.9
"Mississippi","2007",107713.9,97.672,91876.5,50341.4,36154.3,5380.8,7461.5,-2080.8
"Mississippi","2008",109434,99.232,95179.3,52169.3,36313.5,6696.5,7571,-874.5
"Mississippi","2009",105360,95.537,92378,50711.7,35524.1,6142.2,7206.5,-1064.3
"Mississippi","2010",106711.8,96.763,94788.3,51204.8,36900.9,6682.6,7489.4,-806.8
"Mississippi","2011",106491.1,96.563,96799.1,52011.7,37770.6,7016.8,7711.4,-694.7
"Mississippi","2012",108646.5,98.517,100905.4,53976.8,39412.4,7516.2,7971.1,-454.9
"Mississippi","2013",109032.7,98.868,103042.6,54928,40278.6,7836,8298.6,-462.7
"Mississippi","2014",109299.6,99.11,105219.5,56580.2,40369.8,8269.4,8697.6,-428.2
"Mississippi","2015",109401.7,99.202,106623.9,57704.6,40510.7,8408.6,8814.1,-405.5
"Mississippi","2016",109911,99.664,107795.4,58952,40257.4,8586,9141.5,-555.5
"Mississippi","2017",110281.4,100,110281.4,60352.4,41181.8,8747.3,9283.6,-536.4
"Mississippi","2018",110174.8,99.903,113166.4,62113.9,42047.4,9005.2,9595.5,-590.3
"Mississippi","2019",111207.8,100.84,116135.7,63945,43145.7,9045,9881.9,-836.8
"Mississippi","2020",110322.8,100.038,116709.4,65136.4,46642.3,4930.7,10079.3,-5148.6
"Mississippi","2021",115675.1,104.891,129944.7,69578.1,54159.5,6207,11290,-5083
"Mississippi","2022",116557.1,105.691,142762.3,73823.2,57860.5,11078.6,11910.3,-831.6
"Mississippi","2023",119548.4,108.403,151146.7,77636.2,61873.2,11637.2,12327.2,-690
"Mississippi","1997",88384.3,80.144,58517.2,32621.2,21472,4423.9,4701.9,-277.9
"Mississippi","1998",90960.1,82.48,61332.3,34932.6,21408.9,4990.7,5357,-366.3
"Mississippi","1999",93597.7,84.872,64276.5,36546.7,22719.1,5010.6,5518.1,-507.5
"Missouri","2000",262665.4,84.384,187012.8,108908,67403.7,10701.2,11817.6,-1116.4
"Missouri","2001",260381.1,83.65,190388.7,111778.1,67770.3,10840.3,12100,-1259.7
"Missouri","2002",264997.7,85.133,197399,114834.5,70842.8,11721.7,12514.8,-793.1
"Missouri","2003",271970.5,87.373,206005.2,118239.2,75943.1,11822.9,12812.9,-990
"Missouri","2004",279128.2,89.673,216977.5,123212.4,81074.4,12690.7,13578.7,-888
"Missouri","2005",285341.7,91.669,227594.6,128951,85077.6,13566,14754.6,-1188.6
"Missouri","2006",286558.3,92.06,235816.9,135326,86545.8,13945.1,14921.4,-976.3
"Missouri","2007",288320.8,92.626,244085.3,140985.7,88464.8,14634.7,15510.8,-876.1
"Missouri","2008",297881.8,95.698,256431.1,146926.6,94747.2,14757.3,15813.8,-1056.6
"Missouri","2009",289566.8,93.026,254306.2,141930.7,98301.1,14074.5,15202.2,-1127.8
"Missouri","2010",295986.4,95.089,262013.4,142599,104949.3,14465,15504,-1039
"Missouri","2011",292984.2,94.124,263330,144577.4,103984.1,14768.5,15922.6,-1154.1
"Missouri","2012",296514.3,95.258,272482.4,150228.6,107217.1,15036.7,16151.1,-1114.4
"Missouri","2013",302025.7,97.029,282659.7,154829.5,112418.8,15411.4,16631.1,-1219.7
"Missouri","2014",303617.8,97.54,289340.7,159446.4,114221.9,15672.4,16948.1,-1275.7
"Missouri","2015",308009.9,98.951,299597.7,167125,116658,15814.7,16788.1,-973.4
"Missouri","2016",308423.3,99.084,304143.3,170130.2,117733.7,16279.5,17462.4,-1182.9
"Missouri","2017",311273.8,100,311273.8,176847.7,117363.9,17062.2,18234,-1171.8
"Missouri","2018",314182.4,100.934,320451.6,184807.7,117746.7,17897.3,19227.5,-1330.3
"Missouri","2019",321329.1,103.23,334750.2,191969,124706.1,18075.1,19938.2,-1863.2
"Missouri","2020",315332.6,101.304,335285.1,194135.4,135296.3,5853.4,19398.9,-13545.6
"Missouri","2021",331580.9,106.524,366441.5,206241.2,148943.8,11256.5,22460.1,-11203.6
"Missouri","2022",339652.4,109.117,400265.1,220781.4,158395.9,21087.8,23305.8,-2218.1
"Missouri","2023",348487.4,111.955,430114.4,233637.3,173796,22681,24540.9,-1859.9
"Missouri","1997",243724.1,78.299,163101.1,91305.9,62024.5,9770.7,10379.7,-609
"Missouri","1998",249234,80.069,170122.2,96642.6,63254.1,10225.5,10958.7,-733.2
"Missouri","1999",256290.4,82.336,178215.9,102377.1,65247.8,10591,11587.4,-996.4
"Montana","2000",32513.7,67.079,21935.4,12221.7,8513.4,1200.3,1685.3,-485
"Montana","2001",32689.6,67.442,22798,12867.8,8778.6,1151.7,1657.8,-506.1
"Montana","2002",33663.8,69.452,23886,13562.9,8958.6,1364.4,1685.3,-320.8
"Montana","2003",35249.5,72.724,25781.1,14289.9,10107.6,1383.7,1790.1,-406.4
"Montana","2004",36949.9,76.232,28138.8,15173.2,11367.4,1598.2,1940.1,-341.9
"Montana","2005",38849,80.15,30823.7,16288.2,12910.6,1624.9,2081.1,-456.2
"Montana","2006",40055,82.638,33088,17586.4,13627.8,1873.7,2228.8,-355.1
"Montana","2007",42057.7,86.77,36116.1,18910.3,15150.8,2055.1,2403.7,-348.7
"Montana","2008",42049.3,86.752,37028,19572.5,15344.2,2111.4,2511.6,-400.3
"Montana","2009",40938.4,84.46,35880,19164.2,14620.4,2095.4,2504.6,-409.2
"Montana","2010",42469.8,87.62,38080.3,19653.1,16333.4,2093.8,2520.7,-426.9
"Montana","2011",43532.2,89.812,40592.3,20624.6,17729.5,2238.1,2675.2,-437.1
"Montana","2012",44329.1,91.456,42150.2,21645,18133.5,2371.7,2754.2,-382.5
"Montana","2013",45114.7,93.077,43584,22264.8,18872.9,2446.3,2871.9,-425.6
"Montana","2014",46166.7,95.247,45203.8,23188,19396.5,2619.4,2962.6,-343.3
"Montana","2015",47765.6,98.546,46542.4,24213.8,19793.2,2535.4,2829.8,-294.4
"Montana","2016",47189.6,97.357,45859.4,24751.7,18642.2,2465.5,2855.1,-389.7
"Montana","2017",48470.5,100,48470.5,26004.7,19927.9,2537.9,3051.2,-513.3
"Montana","2018",49455,102.031,51152.1,27104.1,21193.8,2854.2,3355.8,-501.6
"Montana","2019",50263.5,103.699,52715.6,28195.3,21562.5,2957.7,3447.4,-489.7
"Montana","2020",49981.4,103.117,52958.8,29349.6,22899.4,709.8,3457.6,-2747.8
"Montana","2021",53303.7,109.971,60399.7,32458.7,26374.9,1566.1,3881.8,-2315.6
"Montana","2022",55193.9,113.871,68702,35213.8,30205.9,3282.3,4273.3,-991
"Montana","2023",57373.3,118.367,73254.5,37780.2,31742.2,3732.1,4354,-621.9
"Montana","1997",30144.8,62.192,19301.7,10407.1,7593.2,1301.4,1561,-259.5
"Montana","1998",31456.1,64.897,20414.4,10987.6,8185.9,1240.9,1608.3,-367.4
"Montana","1999",31633.4,65.263,20815.1,11453.9,8254.5,1106.7,1594.1,-487.3
"Nebraska","2000",80268.2,65.142,56582.7,32792.6,21319.7,2470.4,3817.9,-1347.4
"Nebraska","2001",82268.1,66.765,59634.3,34328.2,22583.1,2723,4080.5,-1357.5
"Nebraska","2002",83433.2,67.711,61569.5,35700.4,22289.9,3579.2,4245.3,-666.1
"Nebraska","2003",88310.7,71.669,66471.7,37168.7,25395.2,3907.8,4759.4,-851.6
"Nebraska","2004",90607.6,73.533,70445.4,38953,27227.7,4264.6,5130.2,-865.6
"Nebraska","2005",94556,76.738,74886.7,40614.2,30272.3,4000.2,5482.1,-1481.8
"Nebraska","2006",97322.8,78.983,79287.5,42697,32059.5,4531,5488.3,-957.3
"Nebraska","2007",99780.7,80.978,84291.9,45005.6,34271.3,5015.1,5736.1,-721
"Nebraska","2008",99860.1,81.042,86146.6,46641,34460,5045.6,5889.1,-843.6
"Nebraska","2009",99986.4,81.145,87325.5,46265.3,36143.6,4916.6,5724.8,-808.2
"Nebraska","2010",103940.8,84.354,91940.7,46583.2,40080.9,5276.6,6036.2,-759.6
"Nebraska","2011",109734.2,89.056,100526.5,47910.3,47160.3,5455.9,6288.7,-832.8
"Nebraska","2012",109686.3,89.017,102949.7,50581,46840.1,5528.5,6371.6,-843.1
"Nebraska","2013",111382.2,90.393,107247,51690.7,49824,5732.3,6767.6,-1035.4
"Nebraska","2014",115651.9,93.858,112763.3,54262.3,52226.3,6274.6,7371.1,-1096.4
"Nebraska","2015",119640.8,97.095,117402.3,56809.4,54145.2,6447.8,7586.4,-1138.6
"Nebraska","2016",121303.1,98.444,119389.8,58190,54659.4,6540.5,7743.3,-1202.9
"Nebraska","2017",123219.9,100,123219.9,60550.7,55882.2,6787,7956.7,-1169.7
"Nebraska","2018",125543.4,101.886,127954.4,63334.9,57397.7,7221.8,8293.7,-1071.9
"Nebraska","2019",127568.9,103.529,132848.2,65646,60268.7,6933.5,8457.3,-1523.7
"Nebraska","2020",126734.9,102.853,135149.4,67205,65086.5,2857.9,8937.3,-6079.4
"Nebraska","2021",134939.9,109.511,150836.1,71311.6,74699.2,4825.3,9506.2,-4680.9
"Nebraska","2022",139440.9,113.164,167480.2,75858.2,82890.1,8732,10183.9,-1452
"Nebraska","2023",145019.6,117.692,181285,80350.9,91638.4,9295.7,10606.2,-1310.5
"Nebraska","1997",73974.1,60.034,49880,27333.2,19381,3165.8,3678.6,-512.8
"Nebraska","1998",75750,61.476,51849.9,29108.6,19932.2,2809.1,3629.5,-820.4
"Nebraska","1999",77421.1,62.832,53714.2,30893.3,20466,2355,3700.3,-1345.4
"Nevada","2000",114810.2,70.35,77181.5,42525.8,28555.9,6099.8,6268.2,-168.4
"Nevada","2001",116267.3,71.243,80968.6,45078.9,29633.5,6256.3,6567.2,-311
"Nevada","2002",120180.1,73.64,85541,46494.8,32280.5,6765.7,6986.4,-220.7
"Nevada","2003",125905.4,77.148,91365,49957.3,34570.1,6837.7,7140.3,-302.6
"Nevada","2004",139373,85.401,104132,55541.7,40061.7,8528.6,8781.2,-252.6
"Nevada","2005",150680.9,92.329,117165.1,61285.2,45856,10023.9,10326.8,-302.9
"Nevada","2006",156297.9,95.771,126613.4,65867.4,50298.8,10447.3,10709.6,-262.3
"Nevada","2007",157734.3,96.651,132045.4,69803.7,51312,10929.7,11196.8,-267
"Nevada","2008",152745.6,93.595,130570.9,69901.9,49645.8,11023.2,11305.8,-282.6
"Nevada","2009",140304.3,85.971,122471.2,64375.4,47827.7,10268.1,10593.8,-325.7
"Nevada","2010",142614.2,87.387,125149,63272.4,51187.1,10689.6,10970.2,-280.6
"Nevada","2011",144341.2,88.445,128638.4,63760.6,53756.1,11121.7,11439.7,-318
"Nevada","2012",142986.1,87.615,130238.2,65869.2,53517.2,10851.8,11138.7,-286.8
"Nevada","2013",144549.3,88.572,133592.5,67694.9,54281.6,11616.1,11912.1,-296
"Nevada","2014",145303.6,89.035,136918.4,72268.2,52745.7,11904.6,12248.4,-343.8
"Nevada","2015",151055.9,92.559,145786.8,76475.6,56723.5,12587.7,12924.8,-337.1
"Nevada","2016",156007.4,95.593,153318,80405.7,58745.6,14166.6,14504.2,-337.6
"Nevada","2017",163199.1,100,163199.1,84334.3,64341.5,14523.3,14847.7,-324.4
"Nevada","2018",168638.5,103.333,172547.9,89409.1,66939.7,16199.2,16551.3,-352.2
"Nevada","2019",176029.7,107.862,184611.1,94771.5,73229.5,16610.1,16993.8,-383.8
"Nevada","2020",166077,101.763,176296.3,92592.1,74315.6,9388.6,16119.4,-6730.8
"Nevada","2021",182474.1,111.811,201705.7,104529.1,86461,10715.6,17441.5,-6726
"Nevada","2022",190463.3,116.706,227320.6,116630.1,92189.1,18501.5,19380.5,-879
"Nevada","2023",195405.6,119.735,245978.8,124291.8,102377.4,19309.7,19995.7,-686
"Nevada","1997",97208.5,59.564,60255,32830.9,22606.3,4817.8,4969.8,-151.9
"Nevada","1998",102779.4,62.978,65332.2,36102.5,24087,5142.8,5299.6,-156.8
"Nevada","1999",110091,67.458,71825.3,39629,26542,5654.2,5822.3,-168.1
"New Hampshire","2000",60742.5,74.825,45604.9,25999,16499.1,3106.8,3198.9,-92.1
"New Hampshire","2001",61719.4,76.028,47037.3,27028.5,16843.5,3165.3,3270.7,-105.4
"New Hampshire","2002",63474.2,78.19,49109.6,27503.2,18264.2,3342.3,3455.2,-112.9
"New Hampshire","2003",66119.4,81.448,51609.7,28634.5,19281.5,3693.6,3830.3,-136.7
"New Hampshire","2004",68428.1,84.292,54545.7,30477.5,20141.1,3927.1,4068.6,-141.5
"New Hampshire","2005",69556.1,85.682,56914.6,31910.5,20960,4044.1,4209.4,-165.4
"New Hampshire","2006",71424.5,87.983,60152.7,33634.4,22379.6,4138.7,4281,-142.3
"New Hampshire","2007",71943.5,88.623,61984.8,34942.2,22841.2,4201.4,4334.1,-132.8
"New Hampshire","2008",71195.6,87.701,62095.3,35794.7,22124.8,4175.7,4310.3,-134.6
"New Hampshire","2009",70498.6,86.843,63052.2,35046.4,23700.9,4305,4477.2,-172.1
"New Hampshire","2010",72950.4,89.863,65310.8,35619.6,25438.6,4252.6,4427.6,-175
"New Hampshire","2011",73465,90.497,66557.3,36879.6,25224.5,4453.2,4651,-197.8
"New Hampshire","2012",74082.8,91.258,68412,37603.6,26154.9,4653.4,4831.6,-178.2
"New Hampshire","2013",75503.4,93.008,70897.4,38685.6,27304.6,4907.2,5082,-174.8
"New Hampshire","2014",76836.2,94.65,73455.1,40636.6,27502.8,5315.7,5477.6,-161.9
"New Hampshire","2015",79319.3,97.708,77385.8,42311,29460.5,5614.3,5773.3,-159
"New Hampshire","2016",80736.1,99.454,79759.7,43718.9,30207.6,5833.3,5994.4,-161.1
"New Hampshire","2017",81179.6,100,81179.6,45377.9,29555.2,6246.4,6404.1,-157.7
"New Hampshire","2018",82269.5,101.343,83859.4,47259.9,30106.4,6493.1,6646.6,-153.5
"New Hampshire","2019",84438.2,104.014,87868.2,49170.9,32446.5,6250.8,6413.6,-162.8
"New Hampshire","2020",83152.6,102.43,88527.7,50710.2,34724.7,3092.7,6397.6,-3304.8
"New Hampshire","2021",89949.3,110.803,99092.6,57836.4,37118.8,4137.4,6636.3,-2498.8
"New Hampshire","2022",91416.1,112.61,106488,59932.6,39867.9,6687.5,7058.8,-371.3
"New Hampshire","2023",93466.7,115.136,114100.8,63548.1,43438.7,7114.1,7414.1,-300.1
"New Hampshire","1997",51026.6,62.856,38122.5,20224.7,15246.9,2650.9,2731.2,-80.3
"New Hampshire","1998",54954.5,67.695,40747.7,22058.9,15951.9,2736.9,2825,-88
"New Hampshire","1999",56913.1,70.108,42292.4,23455.6,15853.6,2983.2,3076.5,-93.3
"New Jersey","2000",503901.5,85.394,360530.4,209740.4,122358.5,28431.6,29492.6,-1061
"New Jersey","2001",509631.5,86.366,372819.2,214293.7,129394.3,29131.2,30338.6,-1207.5
"New Jersey","2002",517752.2,87.742,385045.6,219868.3,134786.9,30390.4,31592.6,-1202.3
"New Jersey","2003",529815.9,89.786,399996.5,226652.2,140897.6,32446.6,33819.3,-1372.6
"New Jersey","2004",536174,90.864,415490.8,237187,143630.3,34673.6,36081.6,-1408
"New Jersey","2005",546357.8,92.589,436064.4,247631.6,151954.4,36478.4,38036.9,-1558.5
"New Jersey","2006",555211,94.09,457681.5,258068.7,160250.2,39362.6,40761,-1398.4
"New Jersey","2007",560823.8,95.041,474539.6,268906.7,164174.6,41458.4,42760.7,-1302.3
"New Jersey","2008",573202.7,97.139,493289.4,273827.6,178289,41172.7,42534.3,-1361.6
"New Jersey","2009",546362.2,92.59,481452.7,265368.8,176332.8,39751.1,41352.7,-1601.6
"New Jersey","2010",554764.4,94.014,491229,267891.7,182305.6,41031.8,42553.8,-1522
"New Jersey","2011",548479.3,92.949,494292.8,272810.1,178650.2,42832.5,44553.2,-1720.6
"New Jersey","2012",560729.7,95.025,516098.2,281064.7,191203.9,43829.7,45443.4,-1613.7
"New Jersey","2013",570952.4,96.757,534212.1,289148.6,198971,46092.6,47690.2,-1597.6
"New Jersey","2014",570696.4,96.714,543824.1,297590.2,197872.3,48361.7,49958.9,-1597.2
"New Jersey","2015",581414.9,98.53,565807.7,308572.2,208332.7,48902.8,50454.2,-1551.4
"New Jersey","2016",587049.7,99.485,578651.4,314121.6,215372.4,49157.4,50859.3,-1701.9
"New Jersey","2017",590086.7,100,590086.7,323748.4,214930.7,51407.6,53017.7,-1610.1
"New Jersey","2018",606892.2,102.848,619340.2,336868.5,227154.3,55317.4,56926.8,-1609.5
"New Jersey","2019",618691,104.847,643317.7,350376.7,233275,59666,61309.9,-1643.8
"New Jersey","2020",597221.4,101.209,631552.3,352092.8,241384.1,38075.4,61140,-23064.6
"New Jersey","2021",632463.3,107.181,695443.2,378669.4,267291,49482.9,67010.7,-17527.8
"New Jersey","2022",650235.8,110.193,758288.7,405493.4,284103,68692.4,72028.5,-3336.1
"New Jersey","2023",663888.5,112.507,806665.2,424626.5,311806.1,70232.7,72903.7,-2671
"New Jersey","1997",454064.1,76.949,307140.9,169652.7,112344.5,25143.7,26288.3,-1144.6
"New Jersey","1998",461237.3,78.164,318104,182621.7,108328.6,27153.7,28202.3,-1048.6
"New Jersey","1999",477827.9,80.976,334966.4,191673.4,115402.9,27890.1,28987.3,-1097.3
"New Mexico","2000",72733.8,78.032,55002.2,26792.1,24378,3832.1,3997.1,-165.1
"New Mexico","2001",72996.4,78.314,55660.2,28481.7,23390.7,3787.9,3986,-198.1
"New Mexico","2002",75345.9,80.835,57718.3,29985.9,23946.9,3785.5,3952.2,-166.6
"New Mexico","2003",78766.8,84.505,62867.9,31587.4,27377.7,3902.8,4107.7,-204.9
"New Mexico","2004",85751,91.998,70593.4,33610.2,32538.3,4445,4636.8,-191.8
"New Mexico","2005",86295.9,92.582,74130.9,35839.9,33875.7,4415.3,4685.6,-270.3
"New Mexico","2006",88554.5,95.005,78008.2,38218.1,34572,5218.1,5439.9,-221.9
"New Mexico","2007",89392.3,95.904,81100.3,40313.4,35109,5677.9,5874.9,-197
"New Mexico","2008",89012.9,95.497,84339.7,42118.7,36226.5,5994.5,6198.2,-203.7
"New Mexico","2009",90829.2,97.446,82641.3,41299.3,35956.8,5385.2,5643.2,-258
"New Mexico","2010",90721,97.33,84862.6,41965.4,37632.4,5264.8,5518.9,-254.1
"New Mexico","2011",90552.3,97.149,87056,42968.2,38778.8,5309,5587,-278
"New Mexico","2012",90762.4,97.374,87681,44124.4,37792.6,5763.9,6034.9,-271
"New Mexico","2013",90104,96.668,88773.3,44475.6,38325,5972.6,6265.5,-292.9
"New Mexico","2014",92621.1,99.368,92523.4,45732.3,40101.9,6689.2,7065.1,-375.9
"New Mexico","2015",93503.9,100.315,90779.4,46976.4,37352.9,6450.1,6689.6,-239.5
