"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Missouri","2021","0","15091423","37418","5945293","4119671","1825622","696002","46316","99418","0","983886","7715511","686857","334238","372106","6960542","3279780","1870976","0","1207531","4577","0","0","0","7536","3471","21719","0","0","163970","1502945","3177088","0","1075812","7547","10870910","104495","10344470","421945","2466810","731","216570","19143395","43871"
"Montana","2021","0","3880366","334759","768499","0","768499","274353","46484","73677","41015","332970","1889444","268444","188314","430906","956538","532956","428109","0","1649","424","363","0","0","57039","1943","2582","0","0","40847","550655","943780","0","152160","7254","2715226","0","2508470","206756","269395","2631","65306","2622550","63810"
"Nebraska","2021","0","6960988","123","3040622","2382381","658241","415141","35338","55790","53973","97999","3130599","571220","117972","100452","2036532","1002647","807342","0","17269","1207","251","0","0","34021","10950","2112","0","45","129450","823853","2004532","0","331114","3429","3629647","0","2781495","848152","328469","5035","83405","2578278","65995"
"Nevada","2021","0","10416344","386450","8392630","6179597","2213033","351627","44690","185039","37518","1594159","0","0","209528","1427736","1654895","854345","529956","0","289","4662","0","0","0","21677","9094","10849","0","0","277818","787586","1739048","19037","840240","10195","4362222","42498","3888265","431459","340362","5105","108840","3593979","69267"
"New Hampshire","2021","0","3213039","401407","977640","0","977640","117200","13701","251000","38200","557539","148648","1009975","94400","580969","1773790","843165","518129","0","6985","142391","248","0","0","5697","25459","12823","2773","0","128660","376506","950615","0","315721","2421","2743396","45961","2079822","617613","202745","4508","73740","7225623","40349"
"New Jersey","2021","0","43683029","5166","17871986","12803267","5068719","386173","174692","601614","935252","2970988","16833495","5959760","681061","2331561","13497435","6697424","2639390","0","900838","1628713","15319","0","23476","4345","43044","48707","8758","2220","1382614","4253443","5365618","1041828","5997759","4903","21267632","315336","19156549","1795747","1998316","11756","903355","70952710","263332"
"New Mexico","2021","0","7471575","91813","3822575","2971970","850605","230303","24359","95230","34757","465956","1198906","152728","213998","1991555","5781073","2165462","554956","0","1435026","13842","0","0","0","5018","1258","11594","0","1024","142744","988182","2295796","0","458051","0","8210715","63433","7312672","834610","491083","4380","140653","7434683","9604"
"New York","2021","0","93503736","0","27164353","15612861","11551492","1465180","271087","1006782","792610","8015833","54996670","4954149","1419382","4969182","22845697","11274240","3040630","0","5997996","768495","40018","0","11155","63040","165606","16858","0","58","1170384","13246253","10813243","200","2113061","3041","70332002","4852","69727238","599912","4007716","6979","902026","170355214","549042"
"North Carolina","2021","0","34711694","0","14568180","9717598","4850582","2113248","533809","307357","233","1895935","15908051","1515650","994556","1725257","11054981","6854034","3373652","0","2402222","177122","949","1376","56042","38054","29648","93001","0","268","681700","4637168","8532104","507968","2334760","7815","17858525","31985","17279496","547044","1108545","40058","615343","15073723","258581"
"North Dakota","2021","0","3908672","5207","1426888","919915","506973","173157","9612","26108","53465","244631","448704","155458","117646","1754769","1672836","827616","465852","0","3627","764","5","0","0","18419","6776","3950","0","0","328223","758084","1233410","0","155322","2486","1694969","71754","1429041","194174","281516","793","45311","2683267","20567"
"Ohio","2021","0","34909388","0","22148518","14393197","7755321","2524431","118746","928292","1036909","3146943","10662810","5955","504197","1587908","16417369","9880455","4972597","0","4334023","303541","0","0","0","21338","34438","82201","0","0","132317","4284877","7515745","0","2169857","14147","32408540","550088","31035659","822793","1660978","24507","484651","34849903","238394"
"Oklahoma","2021","0","11299244","0","4975670","3116195","1859475","571408","146821","463457","47701","630088","3767669","601224","812747","1141934","6029146","3095086","2196749","0","240163","307372","3208","0","0","17551","33363","17234","0","2807","276639","2479534","3858880","0","830037","4373","7442836","159475","6318380","964981","1144693","18350","209460","8151947","136688"
"Oregon","2021","0","17799808","21310","2386620","0","2386620","619333","18086","377921","18564","1352716","11256904","1223523","795820","2115631","10026737","6563635","1483045","0","2768140","27033","30","0","0","192385","32974","19942","0","353","2039733","1293513","4090894","0","1749466","5839","14056204","283069","8441256","5331879","1257012","6854","266077","14424636","138071"
"Pennsylvania","2021","0","49571347","40395","24412646","13717681","10694965","3031113","445401","1292064","994326","4932061","15977933","4045313","1307236","3787824","22038601","13524124","5865388","0","5644024","1246816","34","0","0","54544","70328","91795","15","149","551031","9312734","10538695","0","2418142","12241","36594850","306249","33556272","2732329","2867440","7152","1737143","53216521","102823"
"Rhode Island","2021","0","4344340","3864","2131988","1334931","797057","130104","22112","158682","93449","392710","1757678","257943","28168","164699","1860278","1017257","465980","1966","3069","64155","35161","0","0","17884","10711","15040","104582","10297","290378","555394","727147","58108","286960","2681","3453341","14418","3013305","425618","676147","0","96209","9437805","35158"
"South Carolina","2021","0","13286248","78975","6119790","4154363","1965427","838264","208490","28306","28258","862109","5456360","740197","302509","588417","8673214","6098447","2479467","0","2480136","87622","183","0","312772","31447","52753","19162","0","0","634905","1961452","4666751","0","1906055","12650","8912335","146032","7814873","951430","1633405","2437","176136","12856658","89998"
"South Dakota","2021","0","2149543","0","1783982","1273575","510407","189881","20021","52328","3236","244941","0","53960","89194","222407","1018331","335788","283346","0","2550","3274","0","0","0","13654","3654","0","0","0","29310","843286","672814","0","146951","2861","1730142","109135","1510892","110115","155288","6843","57218","3902400","19078"
"Tennessee","2021","0","19977968","0","14492861","11060457","3432404","1210808","210708","242926","8894","1759068","179379","2564458","387781","2353489","4396071","2076395","1538441","0","21496","119","0","0","0","20480","46092","12269","0","2006","435492","1952632","3968208","117205","1317644","10572","13426910","1081661","11080736","1264513","1814348","6161","251046","6919362","108226"
"Texas","2021","0","65377430","0","56641560","40413873","16227687","3596892","1262775","1397304","725767","9244949","0","0","2220914","6514956","39659302","18645318","9085073","192","8461023","235037","0","0","0","65538","69305","16749","364","53714","658515","13196194","25970720","43991","3600914","34903","50280925","1936296","42268769","6075860","9298528","371887","1264599","52664275","265992"
"Utah","2021","0","12631617","0","4803232","3628512","1174720","534738","17880","106633","54890","460579","6672695","745673","242790","167227","7369028","5780881","2321475","0","3001834","648","157","0","0","22092","35269","6574","0","4826","388006","2447344","5737514","0","496362","6293","5270166","681989","4259410","328767","613750","3453","157499","7030825","12300"
"Vermont","2021","0","4102929","1203059","1247617","507259","740358","109548","12035","77473","9576","531726","1233157","166841","75544","176711","1041172","598310","513105","0","36","614","372","0","0","3411","11402","5573","0","0","63797","328336","831113","0","292527","3005","2064469","27721","1192052","844696","444074","965","160213","3426102","2785"
"Virginia","2021","0","32328105","43332","11719392","6527477","5191915","1421963","295471","287856","495749","2690876","17066596","1579303","504374","1415108","15747698","10116177","4433205","0","4457398","99673","61","0","619580","12936","35915","56494","0","10","400905","5015808","8825779","0","1572279","19093","17810810","293096","16367621","1150093","1419446","92301","540112","31041855","147576"
"Washington","2021","0","32614091","4350245","24013256","19056609","4956647","1518342","472949","386660","611339","1967357","0","0","998237","3252353","9649240","6346369","3021531","0","2207768","329868","0","0","0","135112","2305","144866","0","0","504919","2399686","7695365","0","2389931","8512","15312860","167455","13549182","1596223","3803936","24875","352827","30206602","294913"
"West Virginia","2021","0","6046197","8122","2968554","1537245","1431309","399542","17304","171187","126206","717070","2253788","320487","4562","490684","3248388","1607654","813648","0","76710","163576","927","0","0","31475","31213","9030","8879","1798","470398","1320356","1726027","0","572064","13814","5439965","48185","4670192","721588","306777","9636","97709","13368743","32021"
"Wisconsin","2021","0","22300918","95757","9184622","6373483","2811139","1123970","73778","604097","354279","655015","9035988","2517169","719005","748377","8802585","4987692","2085150","0","2316002","23331","0","2913","0","37443","4030","17177","51","0","501595","2415604","4705133","0","1199293","0","13581095","232158","12333121","1015816","853506","41775","44960","21978336","170020"
"Wyoming","2021","0","1874876","295925","927089","734785","192304","111244","2238","21553","4592","52677","0","0","102438","549424","1397427","248934","104557","0","1247","6207","146","0","0","23990","258","6830","0","2","105697","494644","644613","0","420232","4993","887125","232","653740","233153","563341","155","43895","924246","25051"
"Alabama","2010","0","8419911","316354","4445480","2097434","2348046","558476","167285","137401","812367","672517","2616000","428245","200285","413547",NA,"4105973","2614115","0","1233161","1213","0","0","106460","10849","28752","14114","0","8466","88843","2074629","4751404","0","769510","4214","5957066","139508","5325035","492523","573868","7073","153692","8785245",NA
