"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Mississippi","2013","0","7402725","24122","4571294","3191683","1379611","412966","41787","150277","6191","768390","1755424","415980","151627","484278","2458515","1830894","793970","0","841314","1273","0","0","16584","36714","8012","1141","0","0","131886","1190761","1895297","0","435811","2820","5387906","58251","4876971","452684","350465","10088","106389","7112560","80982"
"Alabama","2014","0","9296846","332689","4812674","2393192","2419482","534396","181427","117112","734105","852442","3206583","406408","189345","349147","5460775","4217877","2264589","0","1648786","854","49","0","162318","8718","1325","15537","0","6160","109541","1880255","4706215","0","2123650","3250","7823807","1441248","5783062","599497","442913","6379","116197","8907686","94802"
"Alaska","2014","0","3392869","128076","257696","0","257696","42467","39078","72004","4230","99917","0","408938","59497","2538662","4233299","627605","187434","0","3334","64569","125442","0","4","20742","1276","24243","0","0","200561","1432239","913832","517113","152689","7579","2025448","174353","1575896","275199","199491","0","136258","6048619","43471"
"Arizona","2014","0","13424271","823508","8081993","6317644","1764349","779970","71136","311811","21760","579672","3462413","575180","198227","282950","5314696","3682132","2026237","0","1295884","9485","928","0","0","21314","28986","4509","0","2756","292033","1370808","3749539","67","2049877","945","8796429","85320","7404171","1306938","1961763","8596","235506","14315828","96683"
"Arkansas","2014","0","8917322","1057918","4324157","3130274","1193883","454909","51618","225809","0","461547","2602160","398493","153445","381149","2979735","2182174","961064","0","936829","5135","23","0","0","22703","25403","739","0","61","230217","1116776","2639380","0","558400","2842","5561340","12984","4975614","572742","261567","1680","101994","4533255","91576"
"California","2014","0","138087357","2176236","49944688","37224077","12720611","6063356","354297","833126","663448","4806384","67995659","8858498","3745377","5366899","29155035","19371442","7672427","0","8069847","36267","0","9837","0","976624","107942","1060","0","0","2497438","10136020","25998869","2546","5408695","23871","57576561","0","52123624","5452937","1776129","14858","1681471","156807868","490118"
"Colorado","2014","0","11755394","0","4474294","2615601","1858693","647104","40886","194192","10819","965692","5658457","717506","474534","430603","5575257","3413238","2527740","0","655191","5064","0","0","0","19271","6227","475","0","2873","196397","1582636","4902994","0","718761","5048","5856213","0","5364570","491643","986990","2557","169697","16352303","76320"
"Connecticut","2014","0","15937742","0","6782404","3981362","2801042","503252","60686","376489","315287","1545328","7772602","627358","211091","544287","3954626","2138523","1217272","0","340358","8061","48129","6574","464","42545","21988","10480","0","123362","319290","2070943","2909156","0","762797","10658","6730143","204814","5629610","895719","722494","29716","214436","33229567","19650"
"Delaware","2014","0","3176169","0","480352","0","480352","113326","19616","114659","59128","173623","1040341","278872","51790","1324814","2283690","1130478","745525","0","8054","180654","0","0","35929","1251","12508","8858","0","60474","77225","519876","1226683","0","411252","8389","2091346","39939","1745704","305703","431740","0","134017","5086383","17916"
"District of Columbia","2014","0","6379567","2070974","1600421","1135037","465384","22961","6234","33205","200365","202619","1679173","415581","36083","577335","1805172","743436","32568","676","119487","0","0","41281","0","0","25353","27066","280186","4403","213092","2555480","151039","2428941","0","66551","3263733","133041","2600444","530248","397610","0","604640","13086174","55053"
