GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "08000","Colorado",7,SAGDP3N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Thousands of dollars",76809,85082,95810,103283,123661,130740,135205,143072,149896,147397,177924,170851,176145,246083,242619,191181,194758,184753,189741,209325,222657,241269,271251,-777013,-116563,326639,359128
 "08000","Colorado",7,SAGDP3N,64,"55","   Management of companies and enterprises ","Thousands of dollars",31895,35324,44929,58240,43948,47236,52589,61475,68390,69665,84541,82598,95023,125593,126738,107805,92658,79269,85669,86829,99241,97495,113060,83154,82758,122616,130889
 "08000","Colorado",7,SAGDP3N,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",82490,84784,94654,95876,94924,99303,96459,97486,98300,100007,113525,110994,109406,139175,141014,116033,116847,111310,115891,125787,131751,144455,152371,-474525,-77486,181726,187549
 "08000","Colorado",7,SAGDP3N,66,"561","    Administrative and support services ","Thousands of dollars",41345,45260,50841,51198,54387,55472,54339,57906,59562,62966,82478,79874,76325,99670,98984,80195,81997,78219,82852,90653,94159,103602,109584,-459705,-96572,131028,135498
 "08000","Colorado",7,SAGDP3N,67,"562","    Waste management and remediation services ","Thousands of dollars",41145,39524,43813,44678,40538,43831,42120,39580,38739,37041,31047,31121,33081,39505,42030,35838,34851,33090,33039,35134,37592,40853,42787,-14819,19086,50698,52051
 "08000","Colorado",7,SAGDP3N,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",126151,133491,143946,158849,180928,204163,208776,219814,233496,236330,280766,283280,309072,412749,366081,294233,289962,255505,285119,334150,358174,385706,421643,-1407686,-927872,159050,345296
 "08000","Colorado",7,SAGDP3N,69,"61","   Educational services ","Thousands of dollars",28600,31266,36011,41363,39183,43936,45777,48542,51745,54045,60733,64706,71935,94961,96615,77653,78162,68852,69590,78908,85251,93146,103759,-18550,11652,125169,134099
 "08000","Colorado",7,SAGDP3N,70,"62","   Health care and social assistance ","Thousands of dollars",97551,102225,107935,117486,141744,160227,162999,171271,181751,182285,220033,218574,237137,317788,269466,216580,211800,186653,215529,255242,272923,292560,317884,-1389136,-939524,33881,211197
 "08000","Colorado",7,SAGDP3N,71,"621","    Ambulatory health care services ","Thousands of dollars",51284,53872,56915,61394,58493,64721,64103,66254,69609,67685,84758,81980,85072,121524,120730,89760,90696,82517,88573,100510,103699,110410,117674,-1193818,-737955,-971,118258
 "08000","Colorado",7,SAGDP3N,72,"622","    Hospitals ","Thousands of dollars",27235,28166,28708,32164,50965,58879,61689,66803,69823,71456,82917,83183,94945,117165,68545,64226,57102,47616,67371,88958,98079,107551,117957,-11640,50879,90569,132269
 "08000","Colorado",7,SAGDP3N,73,"623","    Nursing and residential care facilities ","Thousands of dollars",13355,13910,15288,16382,22973,26410,27464,28162,31916,32627,38096,38840,42182,57233,58796,47368,47394,41663,43673,49174,53547,55224,61438,-75070,-21723,57737,70829
