GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "98000","Far West",8,SAGDP3N,79,"72","   Accommodation and food services ","Thousands of dollars",6270247,6435862,6728966,7086899,7429057,7552886,7746896,8433491,8854775,9789988,10225734,10524073,10303123,11149114,11284308,10744605,11843396,13158500,15369494,16511725,18005242,19110580,20592094,6850956,-51249,22768958,24370073
 "98000","Far West",8,SAGDP3N,80,"721","    Accommodation ","Thousands of dollars",1474443,1553584,1655548,1805477,1912483,1936790,2073200,2204401,2353734,2646781,3037532,3211013,3111493,3211596,3586748,3417705,3542036,3930981,4346291,4812171,5406242,5739397,6046402,3426782,2935377,6621506,6971474
 "98000","Far West",8,SAGDP3N,81,"722","    Food services and drinking places ","Thousands of dollars",4795804,4882279,5073418,5281423,5516574,5616096,5673696,6229090,6501042,7143207,7188202,7313060,7191630,7937518,7697559,7326899,8301359,9227519,11023203,11699555,12599000,13371183,14545692,3424174,-2986626,16147452,17398600
 "98000","Far West",8,SAGDP3N,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",1711447,1792377,1878935,2047326,1996097,2134544,2152437,2394499,2569819,2783169,2829018,3081815,3120371,3121583,3175902,3032472,3182653,3271582,3449305,3610439,3708695,4008797,4585156,808459,261176,5178547,5541714
 "98000","Far West",8,SAGDP3N,83,"92"," Government and government enterprises ","Thousands of dollars",-3015464,-2504529,-2666325,-2448368,-2593297,-3073803,-3276512,-3474051,-3520199,-3642615,-3709934,-3701088,-4353725,-4327880,-4306620,-3925316,-4028816,-4360078,-4314357,-4780783,-4777616,-5095981,-5446014,-9641482,-10438501,-12849601,-9996657
 "98000","Far West",8,SAGDP3N,84,"...","  Federal civilian ","Thousands of dollars",-79960,-87876,-101069,-132116,-126913,-144158,-138056,-130761,-163495,-159935,-147162,-156110,-237096,-163840,-170374,-207981,-297569,-405664,-357135,-415343,-370779,-383026,-439253,-540063,-585829,-664779,-777551
 "98000","Far West",8,SAGDP3N,85,"...","  Military ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "98000","Far West",8,SAGDP3N,86,"...","  State and local ","Thousands of dollars",-2935504,-2416653,-2565256,-2316252,-2466385,-2929645,-3138456,-3343290,-3356704,-3482680,-3562772,-3544978,-4116629,-4164040,-4136245,-3717335,-3731246,-3954414,-3957222,-4365441,-4406836,-4712955,-5006761,-9101419,-9852672,-12184822,-9219106
 "98000","Far West",8,SAGDP3N,87,"11,21","Natural resources and mining ","Thousands of dollars",2543685,1702939,1413992,1724895,1547383,1612726,1785863,2451600,2730927,3643849,5687866,11601159,5542301,6921455,8606172,9298677,9890279,7515189,4846254,4875491,4779979,5409769,4890081,-793138,3070532,6685192,6619561
 "98000","Far West",8,SAGDP3N,88,"42,44-45","Trade ","Thousands of dollars",45402230,47116389,50395210,54233130,54992778,56181488,57478105,61881652,67340956,74991400,75562396,74405228,66668507,73644215,82890303,82270413,88850661,94459850,98999451,96013901,100917579,112078664,131430185,109268990,132384858,159926042,154064815
 "98000","Far West",8,SAGDP3N,89,"22,48-49","Transportation and utilities ","Thousands of dollars",7583638,8398398,8737888,9400750,1015905,9577483,10036795,11213065,11657180,12394006,13705467,14502290,14739975,14568959,15012040,14890712,15593778,16211834,17181047,18180279,19290403,20190468,21633502,10946607,12259221,25350238,26993413
 "98000","Far West",8,SAGDP3N,90,"31-33,51","Manufacturing and information ","Thousands of dollars",8746802,9073782,9926843,10699690,12138621,12695268,12749369,13724154,14063652,14447358,14788240,16020018,16757764,16573623,16874613,16855191,18350937,19265199,20775837,21361878,22439578,23666789,25199461,16241666,18911830,29237409,30761893
 "98000","Far West",8,SAGDP3N,91,"...","Private goods-producing industries 2/","Thousands of dollars",8908121,8431144,8443112,9592162,9454054,10017136,10287047,11749586,12621798,14156004,16856075,23930684,18426065,19313049,21361217,22220775,24013326,22196860,20498240,20702272,21211349,22785101,23396977,2240680,13482449,28812800,29749299
